objectid,parentid,title,type,date,creator,is_part_of,publication_place,trove_url,source_url,abstract,description,subject,extent,format,language,rights,location,latitude,longitude,filename,pages
work-192577925,,Wragges Observatory 1897,Photograph,1897,graham scully,,,https://trove.nla.gov.au/work/192577925,https://www.flickr.com/photos/34925962@N03/3314783333,,<p>This is an item note.</p><br/><br/>What sort of https://timsherratt.au formatting is possible?<br/><br/>Can you use <b>bold</b>?,1897-12-01 00:00:00; kosciusko; meterology,,image/jpeg,,<a href='http://creativecommons.org/licenses/by-nc/2.0/' title='Attribution-NonCommercial Licence'><img src='/images/icon_creative_commons.gif' style='border:none;' alt='This photo is licensed' width='15' height='15' align='left' /></a> Some rights reserved; http://creativecommons.org/licenses/by-nc/2.0/,,,,work-192577925-0.jpg,
work-81015890,,"The first observatory on Kosciuszko, Snowy Mountains, New South Wales, ca. 1897 / Charles Kerry",Photograph,1880-1910,"Kerry, Charles H. (Charles Henry), 1857-1928",series: Tyrrell Collection.,Australia/New South Wales; Australia,https://trove.nla.gov.au/work/81015890,http://nla.gov.au/nla.obj-138928148,,,"Meteorological stations -- New South Wales -- Kosciuszko, Mount -- Photographs.; Kosciuszko, Mount (N.S.W.) -- Photographs.; Meteorologists -- New South Wales -- Kosciuszko, Mount -- Photographs.",1 photograph : b&w ; 20.2 x 25.3 cm.,image/jpeg,,,New South Wales,-32.0,147.0,work-81015890-0.jpg,
article-162833980,,Clement Wragge at Home.,Newspaper article,1894-09-08,,"<a href=""http://nla.gov.au/nla.news-title698"">The Sydney Mail and New South Wales Advertiser (NSW : 1871 - 1912)</a>",,http://nla.gov.au/nla.news-article162833980,,,,"A detailed description of him home ""Capemba""; Clement Wragge; Meteorology; Naming of storms",,compound_object,,,,,,,491
article-162833980-0,article-162833980,Clement Wragge at Home.,Newspaper article,1894-09-08,,"<a href=""http://nla.gov.au/nla.news-title698"">The Sydney Mail and New South Wales Advertiser (NSW : 1871 - 1912)</a>",,http://nla.gov.au/nla.news-article162833980,,,,"A detailed description of him home ""Capemba""; Clement Wragge; Meteorology; Naming of storms",,image/jpeg,,,,,,nla.news-article162833980-16636766.jpg,491
article-162833980-1,article-162833980,Clement Wragge at Home.,Newspaper article,1894-09-08,,"<a href=""http://nla.gov.au/nla.news-title698"">The Sydney Mail and New South Wales Advertiser (NSW : 1871 - 1912)</a>",,http://nla.gov.au/nla.news-article162833980,,,,"A detailed description of him home ""Capemba""; Clement Wragge; Meteorology; Naming of storms",,image/jpeg,,,,,,nla.news-article162833980-16636767.jpg,491
article-145708725,,Mr. Clement Wragge.,Newspaper article,1902-11-20,,"<a href=""http://nla.gov.au/nla.news-title713"">Table Talk (Melbourne, Vic. : 1885 - 1939)</a>",,http://nla.gov.au/nla.news-article145708725,,,,Meteorology; Photograph of Clement Wragge,,image/jpeg,,,,,,nla.news-article145708725-17382406.jpg,13
article-87517976,,MR. CLEMENT WRAGGE. DEATH IN NEW ZEALAND,Newspaper article,1922-12-16,,"<a href=""http://nla.gov.au/nla.news-title291"">Chronicle (Adelaide, SA : 1895 - 1954)</a>",,http://nla.gov.au/nla.news-article87517976,,,,Obit John Robbins 1922,,image/jpeg,,,,,,nla.news-article87517976-8605082.jpg,37
work-9958833,,Experiences of a meteorologist in South Australia / Clement L. Wragge,Book/Illustrated;Book,1980,"Wragge, Clement L. (Clement Lindley), 1852-1922",series: Pioneer Books reprints series ; no. 1.,Australia/National; Australia,https://trove.nla.gov.au/work/9958833,,,,"South Australia -- Climate -- History.; South Australia -- Description and travel.; South Australia. Climate, 1883-1884.",24 p. : ill. ; 22 cm.,record,,,South Australia,-30.0,135.0,,
article-221344158,,WRAGGE,Newspaper article,1903-12-01,,"<a href=""http://nla.gov.au/nla.news-title1177"">Crookwell Gazette (NSW : 1885 - 1954)</a>",,http://nla.gov.au/nla.news-article221344158,,,,,,image/jpeg,,,,,,nla.news-article221344158-24398314.jpg,4
work-208456887,,Clement Lindley Wragge,Photograph,1880,,,,https://trove.nla.gov.au/work/208456887,https://collections.slsa.sa.gov.au/resource/B+9825,,,"Wragge, Clement L. (Clement Lindley), 1852-1922; c. 1880",,image/jpeg,,Reproduction rights: State Library of South Australia,,,,work-208456887-0.jpg,
